1538572278726,1538572278726,1538572278726,1538572278726,0
1538572279337,1538572279337,1538572279367,1538572279337,30
1538572279890,1538572279892,1538572279890,1538572279894,4
1538572280303,1538572280301,1538572280303,1538572280301,2
1538572280308,1538572280308,1538572280308,1538572280308,0
1538572280815,1538572280821,1538572280821,1538572280815,6
1538572280825,1538572280825,1538572280825,1538572280825,0
1538572281799,1538572281799,1538572281799,1538572281799,0
1538572282073,1538572282052,1538572282067,1538572282064,21
1538572285245,1538572285241,1538572285237,1538572285241,8
1538572301865,1538572301864,1538572301864,1538572301875,11
1538572302013,1538572302014,1538572302018,1538572301880,138
1538572302030,1538572302027,1538572302035,1538572302025,10
1538572302396,1538572302396,1538572302396,1538572302396,0
1538572302401,1538572302401,1538572302401,1538572302400,1
1538572302510,1538572302516,1538572302501,1538572302503,15
1538572302567,1538572302573,1538572302560,1538572302558,15
1538572308525,1538572308531,1538572308515,1538572308553,38
1538572308562,1538572308562,1538572308562,1538572308562,0
1538572308665,1538572308656,1538572308675,1538572308679,23
1538572308684,1538572308695,1538572308696,1538572308703,19
1538572309069,1538572309071,1538572309071,1538572309071,2
1538572309075,1538572309075,1538572309075,1538572309075,0
1538572311024,1538572311068,1538572311103,1538572311112,88
1538572312000,1538572312000,1538572312000,1538572312000,0
1538572314052,1538572314098,1538572314052,1538572314052,46
1538572316296,1538572316243,1538572316296,1538572316296,53
1538572318457,1538572318457,1538572318457,1538572318453,4
1538572320422,1538572320422,1538572320505,1538572320505,83
1538572322542,1538572322540,1538572322540,1538572322541,2
1538572322547,1538572322547,1538572322547,1538572322547,0
1538572324301,1538572324303,1538572324300,1538572324300,3
1538572326029,1538572326081,1538572326028,1538572326093,65
1538572328182,1538572328179,1538572328180,1538572328181,3
1538572330024,1538572330026,1538572330025,1538572330024,2
1538572331701,1538572331666,1538572331707,1538572331714,48
1538572333503,1538572333520,1538572333520,1538572333504,17
1538572335244,1538572335235,1538572335240,1538572335318,83
1538572336987,1538572336988,1538572336989,1538572337003,16
1538572340726,1538572340727,1538572340726,1538572340727,1
1538572340746,1538572340753,1538572340758,1538572340732,26
